id,topic,prior_knowledge_needed,paragraph,question_plus,problems
generation-for-nlp-547,세계사,필요 없음,"아래의 두 발췌문은 각각 탐험가 크리스토퍼 콜럼버스와 멕시코 치아파스의 도미니카 주교 바톨로뮤 데 라스 카사스가 쓴 것입니다.
본문 1
인디언들은 판매자가 요구하는 것을 모두 주었습니다… 그리하여 그들은 바보처럼 목화와 금을 내어주고 부러진 활이나 유리 조각, 병 조각 등을 대가로 받았는데 나는 이러한 교환이 부당하다고 여겨 금지했고 나 스스로는 올 때 가져온 아름답고 흐뭇한 많은 물건들을 아무런 대가 없이 그냥 주었습니다. 내가 이렇게 한 것은 그들을 좀 더 우리 편으로 만들고, 기독교인이 될 수 있도록 인도하고, 왕과 왕비와 왕자들 그리고 모든 스페인 사람들에 대한 존중을 키울 수 있게 하기 위함이었습니다. 또한 그들에게는 풍부한 것, 하지만 우리는 절실히 필요한 것들을 그들이 직접 나서서 모아 줄 수 있도록 유도하기 위함이었습니다.
—크리스토퍼 콜럼버스: 라파엘 산체스에게 보낸 편지, 1493년
본문 2
이 온화한 양들에게 달린 일이었다. . . 스페인인들은 눈을 맞춘 첫 날부터 마치 맹렬한 늑대 혹은 며칠을 굶은 사자와 호랑이처럼 달려들었다. 처음부터 구성된 행동 패턴은 오늘날까지 변하지 않고 있으며 스페인인들은 여전히 원주민들을 잘게 찢고 살해해 말못할 고통과 괴로움, 절망을 안겨주며 고문하고 괴롭히며 무자비하게 박해하는 일만 반복하고 있다. 때가 되면 우리는 이들이 고문을 위해 발명해 개량한 수 많은 독창적인 방법 중 일부를 설명할 것이지만 피해자의 숫자 만으로도 얼마나 이들의 고문 방식이 효과적이었는지 알 수 있다. 스페인인들이 처음 도착했을 때 히스파니올라 섬의 원주민 인구는 약 3백만이었으나 지금은 200명만 살아남았다. 이토록 많은 수의 사람들을 죽이고 파괴한 이유는 그리스도교인들의 궁극의 목적이 금을 획득해 빠른 시간 안에 부를 획득해 자신들이 저지른 짓에 비추어 볼 때 말도 안되는 지위에 오르기 위함이었다.
–바톨로뮤 데 라스 카사스: 인디스 파괴에 대한 간략한 설명, 1542년",,"{'question': '다음 중 카사스가 본문 2에서 비판하고자 하는 탐험의 모티브는 무엇입니까?', 'choices': ['원주민들을 기독교로 개종', '부의 축적', '개인적 영광', '새 친구 찾기'], 'answer': 2}"
generation-for-nlp-551,사회,필요 없음,"페레스트로이카[개혁]는 우리 사회주의 사회의 심오한 발전 과정에서 발생하는 긴급한 필요다. 이 사회는 변화의 시기가 무르익었다. 오랫동안 갈망해 왔다. 페레스트로이카 시작이 조금이라도 지연되면 가까운 장래 내부 상황이 악화될 수 있었고, 솔직히 말하면 심각한 사회, 경제, 정치적 위기를 겪게 되었으리라. 미하일 고르바초프, 페레스트로이카: 조국과 세계를 위한 신사고, 1987년",,"{'question': '다음 중 위 글로부터 추정할 수 있는 고르바초프의 주장은?', 'choices': ['소련 사회주의 사회의 재구성은 불가피했다.', '소련 사회주의 사회의 재구성은 현재 상황을 악화시킬 것이다.', '소련 사회주의 사회의 재구성은 위기를 피하기 위해 필요했다.', '소련 사회주의 사회의 재구성은 소련 붕괴를 막기 위해 필요했다.'], 'answer': 3}"
generation-for-nlp-556,세계사,필요 없음,"질문은 다음과 같은 정보를 포함합니다.
아래 불만 목록을 읽어보십시오.
제3조: 프랑스 국민은 국회에서 제정되어 왕이 승인한 법률만을 왕국의 법률로 인정해야 한다.
제11조: 개인의 자유, 재산권, 시민의 안전은 명확하고 정확하며 취소할 수 없는 방식으로 확립되어야 한다. 모든 비밀 체포 영장은 삼부회가 부과하는 것이 적절하다고 판단하는 특정 수정에 따라 영원히 폐지된다.
제12조: 프랑스인의 개인적 권리 및 재산권에 침해 가능성을 영구적으로 제거하고자 모든 형사사건과 민사사건의 사실 확인을 위해 왕국의 모든 법원에 배심원제를 도입한다.
제17조: 형벌의 모든 차별은 폐지되어야 한다. 다양한 계층의 시민이 저지른 범죄는 동일한 법률 형식과 동일한 방식으로 처벌된다. 삼부회는 범죄 결과가 해당 개인에게만 국한되고 전혀 참여하지 않아 무죄인 해당 범죄자의 친인척에게 연좌되지 않도록 해야 한다.
제21조: 국민 대표가 수락하고 국왕이 승인하지 않는 한 어떤 세금도 합법적이지 않다.
—베르사유 제3부 의사록, 1789년",,"{'question': '다음 중 위에서 언급된 프랑스 혁명의 원인이 된 문제점으로 올바르지 않은 것은?', 'choices': ['부채와 세수 감소로 인한 재정 문제.', '공평하지 않은 법 체계.', '계몽주의 이념의 확산.', '1789년 프랑스에 만연했던 사회 정치적 불평등.'], 'answer': 1}"
generation-for-nlp-557,세계사,필요 없음,"1848년은 독일과 유럽 역사에 있어 결정적인 해로, 독일의 과거를 요약하고 독일의 미래에 영감을 주었다. … 사상의 힘에 대한 무한한 믿음에서 그토록 영감을 받은 혁명은 결코 없었고, 결과를 놓고 사상의 힘을 그토록 불신한 혁명도 없었다. 혁명의 성공은 보수 사상을 불신하게 만들었고, 혁명의 실패는 자유주의 사상을 불신하게 만들었다. 이후에는 힘이라는 개념 외에는 아무것도 남지 않았고, 이 개념은 그때부터 독일 역사의 중심이 되었다. 1521년 이후 처음으로 독일 국민은 독일 무대 중앙에 올라섰으나 또 한 번 신호를 놓쳤다. 독일의 역사는 전환점에 이르렀으나 전환하지 못했다. 이것이 1848년의 운명적 본질이었다. A. J. P. 테일러, 독일 역사 과정, 1945년",,"{'question': '다음 중 인용문에서 테일러가 1848년 정치 혁명이 끼친 가장 중요한 영향이라고 주장하는 것은?', 'choices': ['지배계급 변화에 실패', '사상의 힘을 보여줌', '보수주의와 자유주의 정치이념 모두에 대한 불신', '현대 경찰력의 개념 창조'], 'answer': 3}"
generation-for-nlp-558,세계사,필요 없음,"애디슨 법은 전후 노동계급이 바라는 바가 신속하게 충족되지 않으면 영국도 러시아와 유사한 혁명을 경험할 수 있다는 믿음에서 고안되었다. 1920년에 이르러 두려움은 사라지기 시작했고 애디슨의 정책은 과도한 것으로 간주되었다. 새 태도의 즉각적인 희생자는 1920년 9월 승인된 임시 계획인 버러의 킹필드 스트리트 계획이었다. 정부의 주택위원회는 계획을 연기했으며 ""의회의 현 약속과 현 시점 이용가능한 자금을 고려하여 1921년 5월 정부는 주택 공급 프로그램을 대폭 축소하여 주택 목표를 반으로 삭감했다""고 발표하여 의회를 놀라게 했다.",,"{'question': '다음 중 위에서 변경된 계획을 가장 잘 설명한 것은 무엇입니까?', 'choices': ['1차 세계대전 이후 복지 프로그램에 대한 의문이 제기되었습니다.', '주택은 영국 예산의 큰 부분을 차지했습니다.', '노동자가 공산주의 혁명을 위협하고 있었습니다.', '정부 주택위원회는 주택을 더 많이 짓고자 했습니다.'], 'answer': 1}"
generation-for-nlp-560,세계사,필요 없음,"이 지문에 나타난 정보는 무엇입니까? 우리는 이 영구적이며 번복할 수 없는 칙령을 통해 확립하고 선포한다. ""첫째, 이전 모든 고난스러운 기간에 ... 일방 또는 타방 당사자가 행한 모든 일에 대한 기억은, 마치 전혀 일어나지 않았던 것처럼 말소하고 잊는다. … ""우리는 우리 왕국과 우리 지배를 받는 나라, 그 행사가 중단된 나라의 모든 장소와 지방에서 가톨릭 사도와 로마 종교가 여하한 문제나 방해 없이 행사 평화롭고 자유롭게 행해지도록 회복 및 재건될 것을 명한다. … ""그리고 우리 백성들 사이 분쟁이나 의견차가 발생할 여지를 남기지 않고자, 우리는 개혁파라 불리는 종교가 우리 왕국과 우리가 지배하는 국가의 모든 도시와 장소에서 방해 받거나, 추행을 당하거나, 종교 문제에 있어 양심에 어긋나는 일을 하도록 강요당하지 않으며 살고 거주하도록 허용해 왔고 지금 이로써 허용한다. …"" 프랑스의 앙리 4세, 낭트 칙령, 1598년",,"{'question': '본문을 통해 추론할 수 있는 점을 고르십시오.', 'choices': ['헨리 4세는 가톨릭 신자였습니다.', '헨리 4세는 개신교인이었습니다.', '1598년 이전 프랑스에는 종교적 갈등이 없었습니다.', '1598년 이전 프랑스는 종교적 갈등에 시달렸습니다.'], 'answer': 4}"
generation-for-nlp-566,세계사,필요 없음,"다음은 1889년 파리박람회에 대한 설명입니다. ""박람회 기간 동안, 특히 대의회와 프랑스 협회가 회의를 열었던 8월 파리에서 인류의 자연사를 연구할 기회는 인류학 역사상 유례없는 기회였다. 프랑스 수도는 언제든 인류학자에게 드문 이점을 제공한다. 브로카 박물관과 실험실, 팔레 드 쥐스티스에 있는 베르티옹의 인체측정 수술, 인류학 에꼴 강의 과정, 파리 식물원의 수집품, 의학 에꼴의 고유 작업 시설, 비교 해부학자와 생물학자에게 일자리를 풍부하게 제공하는 병원이 있다."" 오티스 T. 메이슨, 미국 민족학자 겸 큐레이터, 1889년 본문에서 파리박람회 당시 과학계가 변화하고 있는 이유를 유추하십시오.",,"{'question': '이 지문에 나타난 정보는 무엇입니까?', 'choices': ['여성의 포함', '프랑스 수도 공기관에서 자금 지원 증가', '많은 유럽 국가에서 보편 공교육 발전', '새로운 전문분야 개발'], 'answer': 4}"
generation-for-nlp-567,사회,필요 없음,"정부가 빈곤층에 대한 구원투수의 직책을 맡는 일은 정부는 지키는 것 이상의 일을 할 수 없다는 원칙에 의해 필연적으로 금지된다. 고통을 완화하고자 시민 기여를 요구함에 있어 ... 국가는 ... 국가의 기능을 역전시키고 있다. 기본법을 집행해 모든 사람이 다른 사람의 평등한 자유를 침해하지 않는 한 원하는 바를 이룰 자유를 보장해야 한다. 하지만 이는 누군가의 만족을 보장하는 것과는 별도의 문제이다.
무능한 이의 가난, 섣부른 자의 곤경, 게으른 자의 굶주림과 강자에게 약자를 떠넘기는 일은 보다 크고 앞을 내다보는 자비에 의한 결정이다. 이를 분리해서 생각하지 않고 인류 공통의 이익과 연결지어 생각해 보면 이런 가혹한 운명도 커다란 은혜로 가득하다고 볼 수 있다.
허버트 스펜서, 사회적 통계: 인류에 적용되는 적자생존, 1851년",,"{'question': '이 구절에서 스펜서의 생각을 다음과 같이 추론할 수 있습니다.', 'choices': ['빈자를 돕고자 세금을 사용하는 것을 반대했습니다', '국민에게 세금을 부과하는 정부의 권리에 도전했습니다', '정부는 단순한 국민 보호 이상의 일을 해야 한다고 믿었습니다', '노동자는 공통 목적을 위해 단결해야 한다고 믿었습니다'], 'answer': 1}"
generation-for-nlp-568,ETC,필요 없음,"마침내 나는 인간이 모든 피조물 중에서 가장 운이 좋은 결과 모든 존경을 받을 가치가 있는 이유를 이해하게 된 것 같다. … 다른 모든 존재의 본성은 제한되어 있다. … 상상해 보라! 하나님의 크신 은혜를! 인류의 행복을! 인간은 원하는 무엇이든 될 수 있다! 피코 델라 미란돌라, 인간 존엄성에 관한 연설, 1486년",,"{'question': '이 구절에서 피코가 거부했다고 추론할 수 있는 개념을 고르십시오.', 'choices': ['인류는 독특한 생물입니다', '신께서는 인간이 노력해 성취하도록 의도하였습니다', '인류는 존경받을 가치가 없습니다', '인간은 신과 동등합니다'], 'answer': 3}"
generation-for-nlp-573,세계사,필요 없음,"1645년경 런던에 사는 동안 … 나는 자연철학과 인류의 다른 학문, 특히 ""신철학""이나 ""실험철학""이라는 것을 탐구하며 다양한 위인을 만날 수 있었다. 우리는 합의하여 ... 매주 런던에서 특정일에 만나 그러한 문제를 다루고 논의했다. ... 우리 일은 (신학과 국정은 제외하고) 철학적 탐구, 관련된 물리학, 해부학, 기하학, 천문학, 항법, 정역학, 자기학, 화학, 역학, 자연 실험을 당시 국내외에서 발전하던 연구의 현황과 더불어 논의하고 숙고하는 것이었다. 다음 우리가 논의한 것은 혈액순환, 정맥의 판막, 유정맥, 림프관, 코페르니쿠스 가설, 혜성과 신성의 본질, 목성의 위성, 타원형 토성(당시 나타난 모습), 태양 흑점, 태양 자전축의 회전, 달의 불균일과 월리학, 금성과 수성의 여러 상, 망원경의 개선, 이를 위해 유리를 갈아내는 것, 공기의 무게, 진공의 가능성 또는 불가능성, 그에 대한 자연의 혐오, 토리첼리의 실험, 무거운 물체의 하강과 내부의 가속도, 비슷한 속성의 다양한 사항이다. 그중 일부는 당시 새로운 발견에 불과했고, 지금처럼 일반적으로 알려지거나 수용되지 않았던 것도 있다. … 우리 철학 일과 관련된 이외에는 신성, 국정, 뉴스에 관한 모든 담론을 금지했다. 이 모임은 곧 치프사이드의 불헤드로 옮겨졌고, 학기 중에는 그레샴 대학으로 옮겨져 매주 포스터의 강의(당시 그곳 천문학 교수)에서 만났고, 강의 종료 후 쉰 뒤 포스터가 기거하는 곳에 가기도 했으며, 멀지 않은 다른 곳으로도 옮겨 탐구를 계속했고 참여자 숫자는 늘어났다.",,"{'question': '이 구절에서 월리스가 속한 단체의 주된 관심으로 추론할 수 있는 것을 고르십시오.', 'choices': ['전통적인 세계관 훼손', '교회에 도전하고자 세속 과학을 창안', '잉글랜드와 해외의 신철학 현황 확인', '전통 가치를 훼손하지 않도록 새 지식 규제'], 'answer': 3}"
generation-for-nlp-584,문학,필요 없음,"백인의 짐을 떠맡아라—
최고의 품종을 보내어라—
가서 네 아들들을 묶어 유배시켜
포로들의 필요를 충족하여라
무거운 밧줄에 묶여 기다려라
설렌 사람들과 야만인—
그대의 새로 붙잡힌 음침한 민족들
반은 악마이고 반은 아이인 자들 위에서.
...
백인의 짐을 떠맡아라—
잔혹한 평화의 전쟁—
기근의 입을 가득 채우라
질병이 멈추도록 명하라
목표가 가장 가까워올 때
다른 이들이 추구하는 종말이란…
나태와 이방인의 어리석음을 경계하라
모든 희망을 없애노라
러디야드 키플링, 백인의 짐, 1899년",,"{'question': '이 시를 바탕으로 대영제국의 임무에 대한 키플링의 생각을 가장 잘 요약한 것을 고르시오.', 'choices': ['어렵지만 꼭 필요한 일', '무자비한 권력 행사', '영광스럽고 종교적인 책무', '목적도 희망도 없는 일'], 'answer': 1}"
